text,Author_num
"['filled', 'with', 'brandy,', 'and', 'I\ndrank', 'some', 'and', 'went', 'to', 'sleep.', 'When', 'I', 'woke', 'it', 'was', 'drizzling', 'still,', 'so\nI', 'drank', 'some', 'more.', 'I', 'was', 'stiff', 'and', 'cold;', 'and', 'my', 'master,', 'who', 'lay', 'by', 'me,\noffered', 'me', 'his', 'flask,', 'because', 'mine', 'was', 'empty.', 'I', 'drank', 'some,', 'and', 'then', 'I\nthought', 'I', 'would', 'go', 'and']",0
"['over\nand', 'patting', 'me', 'on', 'the', 'back.\n\n""\'Keep', ""'er"", 'in', 'the', 'office', 'a', 'little', ""longer,'"", 'he', 'ses,', 'in', 'a', 'whisper.', '', ""'The\nother's"", 'going', 'soon.', '', 'Keep', ""'er"", 'there', 'as', 'long', 'as', 'you', 'can.\'\n\n""\'And', 'suppose', 'she', 'sees', 'you', 'and', 'Mrs.', 'Plimmer', 'passing', 'the', ""window?'"", 'I', 'ses.\n\n""\'That\'ll', 'be', 'all', 'right;', ""I'm"", 'going', 'to', 'take']",9
"['Maggie', 'Howland.""\n\n""Delighted', 'to', 'see', 'you,', 'my', 'dear,""', 'said', 'Mrs.', 'Tristram.', '""I', 'hope', 'you', 'are\nnot', 'tired', 'after', 'your', 'journey', 'from', 'town.""\n\n""Not', 'in', 'the', 'least,', 'thank', 'you,', 'Mrs.', 'Tristram,""', 'said', 'Maggie,', 'speaking', 'in\na', 'voice', 'of', 'very', 'peculiar', 'quality;', 'it', 'was', 'sweet', 'and', 'rich', 'and', 'full', 'of\nmany', 'intonations.', 'She', 'had', 'the', 'power', 'of']",4
"['to', 'lie', 'under', 'the', 'foot', 'of', 'the', 'thing', 'I', 'loved', 'would', 'be\nmore', 'heaven', 'than', 'to', 'lie', 'in', 'the', 'breast', 'of', 'another.', 'Come!', 'let', 'us', 'go.', 'Carry\nthe', 'dog,”', 'she', 'added;', '“he', 'will', 'not', 'bite', 'you', 'if', 'I', 'put', 'him', 'in', 'your', 'arms.\nSo--do', 'not', 'let', 'his', 'foot', 'hang', 'down.”\n\nThey', 'descended', 'the', 'kopje.']",0
"['pluck', 'the', 'flower', 'that', 'you\nso', 'diametrically', 'opposed.', 'We', 'have', 'sworn', 'by', 'the', 'saints--by', 'the', 'gods\nof', 'battle,', 'and', 'by', 'that', 'faith', 'whereby', 'just', 'men', 'are', 'made', 'perfect--to', 'be\nunited.', 'I', 'hope,', 'my', 'dear', 'sir,', 'you', 'will', 'find', 'it', 'convenient', 'as', 'well', 'as\nagreeable', 'to', 'give', 'me', 'a', 'favorable', 'answer,', 'with', 'the', 'signature', 'of']",5
"['day;', 'the', 'boy', 'was', 'literally', 'cut', 'up.', 'He\nlocked', 'the', 'door', 'and', 'went', 'away', 'again.\n\n“Oh,', 'Lyndall,”', 'said', 'Em,', 'entering', 'the', 'dining', 'room,', 'and', 'bathed', 'in', 'tears,\nthat', 'afternoon,', '“I', 'have', 'been', 'begging', 'Bonaparte', 'to', 'let', 'him', 'out,', 'and', 'he\nwon’t.”\n\n“The', 'more', 'you', 'beg', 'the', 'more', 'he', 'will', 'not,”', 'said', 'Lyndall.\n\nShe', 'was', 'cutting', 'out']",0
"['lost', 'sight', 'of', 'that', 'for', 'a', 'minute.', 'It’s', 'been', 'altogether', 'easier', 'for\nher,', 'though,”', 'he', 'threw', 'off', 'presently.\n\n“On', 'the', 'whole,', 'I', 'suppose', 'it', 'has.', 'Well----”', 'she', 'summed', 'up', 'with', 'a', 'laugh,\n“aren’t', 'you', 'all', 'the', 'better', 'pleased', 'to', 'be', 'told', 'you’ve', 'behaved', 'as', 'well', 'as\nshe?”\n\n“Oh,', 'you', 'know,', 'I’ve', 'not', 'done', 'it', 'for']",3
"['in', 'the', ""'Bull's"", ""Head'"", 'and', 'stood', 'me', ""three\n'arf-pints,"", 'one', 'arter', 'the', 'other.\n\n""\'I\'m', ""ruined,'"", 'he', 'ses', 'in', 'a', ""'usky"", 'whisper;', ""'I'm"", 'done', 'for.', '', 'Why', 'was', 'wimmen\nmade?', '', 'Wot', 'good', 'are', 'they?', '', 'Fancy', ""'ow"", 'bright', 'and', ""'appy"", 'we', 'should', 'all', 'be\nwithout', '\'em.\'\n\n""\'I', 'started', 'to', ""p'int"", 'out', 'one', 'or', 'two', 'things']",9
"['Still', 'there\nwas', 'a', 'measure', 'of', 'uncertainty:', 'the', 'messenger', 'might', 'have', 'lost', 'his', 'way;\nthere', 'might', 'not', 'have', 'been', 'any', 'physician', 'within', 'call;', 'accidents', 'might\nhave', 'happened', 'to', 'horse', 'or', 'rider,--and', 'one', 'hour', 'wore', 'away,', 'followed\nby', 'another.\n\nAgainst', 'his', 'will,', 'Dell', 'was', 'held', 'under', 'restraint', 'until', 'six', ""o'clock."", '""It\'s\nmy', 'intention', 'to', 'follow', 'him', 'within']",1
"['and', 'stay', 'with', 'her', 'for', 'a\ntime.""\n\n""Of', 'course', 'you', 'may', 'go,', 'Aneta.', 'I', 'give', 'you', 'permission;', 'but', ""don't"", 'remain\ntoo', 'long,', 'for', 'we', 'get', 'up', 'early', 'to-morrow,', 'as', 'to-morrow', 'school', 'really\nbegins.""\n\n""I', ""won't"", 'remain', 'a', 'minute', 'longer', 'than', 'I', 'can', 'help.', 'Thank', 'you,', 'Lucy,""\nsaid', 'Aneta.\n\nMiss', 'Johnson', 'kissed', 'her', 'pupil', 'and', 'left', 'the', 'room.\n\nA']",4
