sequences,author
"['CHAPTER', 'I\n', '\n', 'TREATS', 'OF', 'THE', 'PLACE', 'WHERE', 'OLIVER', 'TWIST', 'WAS', 'BORN', 'AND', 'OF', 'THE\n', 'CIRCUMSTANCES', 'ATTENDING', 'HIS', 'BIRTH\n', '\n', 'Among', 'other', 'public', 'buildings', 'in']",CharlesDickens
"['a', 'certain', 'town,', 'which', 'for', 'many', 'reasons\n', 'it', 'will', 'be', 'prudent', 'to', 'refrain', 'from', 'mentioning,', 'and', 'to', 'which', 'I', 'will\n', 'assign', 'no', 'fictitious', 'name,', 'there']",CharlesDickens
"['is', 'one', 'anciently', 'common', 'to', 'most', 'towns,\n', 'great', 'or', 'small:', 'to', 'wit,', 'a', 'workhouse;', 'and', 'in', 'this', 'workhouse', 'was', 'born;', 'on\n', 'a', 'day', 'and', 'date']",CharlesDickens
"['which', 'I', 'need', 'not', 'trouble', 'myself', 'to', 'repeat,', 'inasmuch', 'as\n', 'it', 'can', 'be', 'of', 'no', 'possible', 'consequence', 'to', 'the', 'reader,', 'in', 'this', 'stage', 'of\n', 'the']",CharlesDickens
"['business', 'at', 'all', 'events;', 'the', 'item', 'of', 'mortality', 'whose', 'name', 'is\n', 'prefixed', 'to', 'the', 'head', 'of', 'this', 'chapter.\n', '\n', 'For', 'a', 'long', 'time', 'after', 'it']",CharlesDickens
"['was', 'ushered', 'into', 'this', 'world', 'of', 'sorrow', 'and\n', 'trouble,', 'by', 'the', 'parish', 'surgeon,', 'it', 'remained', 'a', 'matter', 'of', 'considerable\n', 'doubt', 'whether', 'the', 'child', 'would', 'survive']",CharlesDickens
"['to', 'bear', 'any', 'name', 'at', 'all;', 'in', 'which\n', 'case', 'it', 'is', 'somewhat', 'more', 'than', 'probable', 'that', 'these', 'memoirs', 'would', 'never\n', 'have', 'appeared;', 'or,', 'if', 'they']",CharlesDickens
"['had,', 'that', 'being', 'comprised', 'within', 'a', 'couple', 'of\n', 'pages,', 'they', 'would', 'have', 'possessed', 'the', 'inestimable', 'merit', 'of', 'being', 'the\n', 'most', 'concise', 'and', 'faithful', 'specimen', 'of']",CharlesDickens
"['biography,', 'extant', 'in', 'the\n', 'literature', 'of', 'any', 'age', 'or', 'country.\n', '\n', 'Although', 'I', 'am', 'not', 'disposed', 'to', 'maintain', 'that', 'the', 'being', 'born', 'in', 'a\n', 'workhouse,']",CharlesDickens
"['is', 'in', 'itself', 'the', 'most', 'fortunate', 'and', 'enviable', 'circumstance\n', 'that', 'can', 'possibly', 'befall', 'a', 'human', 'being,', 'I', 'do', 'mean', 'to', 'say', 'that', 'in', 'this\n', 'particular']",CharlesDickens
"['instance,', 'it', 'was', 'the', 'best', 'thing', 'for', 'Oliver', 'Twist', 'that', 'could\n', 'by', 'possibility', 'have', 'occurred.', '', 'The', 'fact', 'is,', 'that', 'there', 'was', 'considerable\n', 'difficulty', 'in']",CharlesDickens
"['inducing', 'Oliver', 'to', 'take', 'upon', 'himself', 'the', 'office', 'of\n', 'respiration,--a', 'troublesome', 'practice,', 'but', 'one', 'which', 'custom', 'has', 'rendered\n', 'necessary', 'to', 'our', 'easy', 'existence;', 'and', 'for']",CharlesDickens
"['some', 'time', 'he', 'lay', 'gasping', 'on', 'a\n', 'little', 'flock', 'mattress,', 'rather', 'unequally', 'poised', 'between', 'this', 'world', 'and\n', 'the', 'next:', 'the', 'balance', 'being', 'decidedly', 'in', 'favour']",CharlesDickens
"['of', 'the', 'latter.', '', 'Now,\n', 'if,', 'during', 'this', 'brief', 'period,', 'Oliver', 'had', 'been', 'surrounded', 'by', 'careful\n', 'grandmothers,', 'anxious', 'aunts,', 'experienced', 'nurses,', 'and', 'doctors', 'of\n', 'profound']",CharlesDickens
"['wisdom,', 'he', 'would', 'most', 'inevitably', 'and', 'indubitably', 'have', 'been\n', 'killed', 'in', 'no', 'time.', '', 'There', 'being', 'nobody', 'by,', 'however,', 'but', 'a', 'pauper', 'old\n', 'woman,', 'who']",CharlesDickens
"['was', 'rendered', 'rather', 'misty', 'by', 'an', 'unwonted', 'allowance', 'of', 'beer;\n', 'and', 'a', 'parish', 'surgeon', 'who', 'did', 'such', 'matters', 'by', 'contract;', 'Oliver', 'and\n', 'Nature', 'fought', 'out']",CharlesDickens
"['the', 'point', 'between', 'them.', '', 'The', 'result', 'was,', 'that,', 'after\n', 'a', 'few', 'struggles,', 'Oliver', 'breathed,', 'sneezed,', 'and', 'proceeded', 'to', 'advertise\n', 'to', 'the', 'inmates', 'of', 'the']",CharlesDickens
"['workhouse', 'the', 'fact', 'of', 'a', 'new', 'burden', 'having', 'been\n', 'imposed', '', 'upon', 'the', 'parish,', 'by', 'setting', 'up', 'as', 'loud', 'a', 'cry', 'as', 'could\n', 'reasonably', 'have']",CharlesDickens
"['been', 'expected', 'from', 'a', 'male', 'infant', 'who', 'had', 'not', 'been\n', 'possessed', 'of', 'that', 'very', 'useful', 'appendage,', 'a', 'voice,', 'for', 'a', 'much', 'longer\n', 'space', 'of', 'time']",CharlesDickens
"['than', 'three', 'minutes', 'and', 'a', 'quarter.\n', '\n', 'As', 'Oliver', 'gave', 'this', 'first', 'proof', 'of', 'the', 'free', 'and', 'proper', 'action', 'of', 'his\n', 'lungs,', 'the', 'patchwork', 'coverlet']",CharlesDickens
"['which', 'was', 'carelessly', 'flung', 'over', 'the', 'iron\n', 'bedstead,', 'rustled;', 'the', 'pale', 'face', 'of', 'a', 'young', 'woman', 'was', 'raised', 'feebly\n', 'from', 'the', 'pillow;', 'and', 'a', 'faint']",CharlesDickens
"['voice', 'imperfectly', 'articulated', 'the', 'words,\n', ""'Let"", 'me', 'see', 'the', 'child,', 'and', ""die.'\n"", '\n', 'The', 'surgeon', 'had', 'been', 'sitting', 'with', 'his', 'face', 'turned', 'towards', 'the', 'fire:\n']",CharlesDickens
"['giving', 'the', 'palms', 'of', 'his', 'hands', 'a', 'warm', 'and', 'a', 'rub', 'alternately.', '', 'As', 'the\n', 'young', 'woman', 'spoke,', 'he', 'rose,', 'and', 'advancing', 'to', 'the', ""bed's""]",CharlesDickens
