text,Author
"[""SHIP'S"", 'COMPANY\n\nBy', 'W.W.', 'Jacobs\n\n\n\nGOOD', 'INTENTIONS\n\n""Jealousy;', ""that's"", 'wot', 'it', 'is,""', 'said', 'the', 'night-watchman,', 'trying', 'to', 'sneer--\n""pure', 'jealousy.""', '', 'He', 'had', 'left', 'his', 'broom', 'for', 'a', 'hurried']",W.W.Jacobs
"['half-pint', 'at', 'the\n""Bull\'s', 'Head""--left', 'it', 'leaning', 'in', 'a', 'negligent', 'attitude', 'against', 'the\nwarehouse-wall;', 'now,', 'lashed', 'to', 'the', 'top', 'of', 'the', 'crane', 'at', 'the', 'jetty', 'end,', 'it\npointed']",W.W.Jacobs
"['its', 'soiled', 'bristles', 'towards', 'the', 'evening', 'sky', 'and', 'defied', 'capture.\n\n""And', 'I', 'know', 'who', 'it', 'is,', 'and', 'why', ""'e's"", 'done', 'it,""', 'he', 'continued.', '', '""Fust', 'and\nlast,']",W.W.Jacobs
"['I', ""don't"", 'suppose', 'I', 'was', 'talking', 'to', 'the', 'gal', 'for', 'more', 'than', 'ten', 'minutes,\nand', ""'arf"", 'of', 'that', 'was', 'about', 'the', 'weather.\n\n""I', ""don't"", 'suppose', 'anybody', ""'as""]",W.W.Jacobs
"['suffered', 'more', 'from', 'jealousy', 'than', 'wot', 'I', ""'ave:\nOther"", ""people's"", 'jealousy,', 'I', 'mean.', '', 'Ever', 'since', 'I', 'was', 'married', 'the', 'missis', 'has\nbeen', 'setting', 'traps', 'for', 'me,']",W.W.Jacobs
"['and', 'asking', 'people', 'to', 'keep', 'an', 'eye', 'on', 'me.', '', 'I\nblacked', 'one', 'of', 'the', 'eyes', 'once--like', 'a', 'fool--and', 'the', 'chap', 'it', 'belonged', 'to\nmade', 'up', 'a']",W.W.Jacobs
"['tale', 'about', 'me', 'that', 'I', ""ain't"", 'lived', 'down', 'yet.\n\n""Years', 'ago,', 'when', 'I', 'was', 'out', 'with', 'the', 'missis', 'one', 'evening,', 'I', 'saved', 'a', ""gal's\nlife"", 'for', 'her.']",W.W.Jacobs
"['', 'She', 'slipped', 'as', 'she', 'was', 'getting', 'off', 'a', 'bus,', 'and', 'I', 'caught', ""'er\njust"", 'in', 'time.', '', 'Fine', 'strapping', 'gal', 'she', 'was,', 'and', 'afore', 'I']",W.W.Jacobs
"['could', 'get', 'my\nbalance', 'we', ""'ad"", 'danced', 'round', 'and', 'round', ""'arfway"", 'acrost', 'the', 'road', 'with', 'our\narms', 'round', 'each', ""other's"", 'necks,', 'and', 'my', 'missis', 'watching', 'us', 'from']",W.W.Jacobs
"['the\npavement.', '', 'When', 'we', 'were', 'safe,', 'she', 'said', 'the', 'gal', ""'adn't"", 'slipped', 'at', 'all;\nand,', 'as', 'soon', 'as', 'the', 'gal', ""'ad"", 'got', ""'er"", 'breath,', ""I'm"", 'blest']",W.W.Jacobs
