text,Author
"['_can', '_be', 'helped.', 'The', 'struggler', 'whom', 'you', '_could\n_help', 'does', 'his', 'own', 'helping;', 'it', 'would', 'not', 'occur', 'to', 'him', 'to', 'apply', 'to', 'you,\nstranger.', 'He', 'has', 'talent']",MarkTwain
"['more', 'detached', 'frame', 'of', 'mind,', 'he', 'would', 'have', 'found', 'an', 'extreme\ninterest', 'in', 'studying', 'and', 'classifying', 'Miss', 'Painter.', 'It', 'was', 'not', 'that', 'she\nsaid', 'anything', 'remarkable,', 'or']",EdithWharton
"['at', 'the\nworld.', 'We', 'are', 'not', 'miserable.', 'Why', 'should', 'we', 'be?', 'We', 'eat', 'and', 'drink,', 'and\nsleep', 'all', 'night;', 'but', 'the', 'dead', 'are', 'not', 'colder.\n\nAnd', 'we', 'say']",(AKARalphIron)OliveSchreiner
"['fellow,’', 'said', 'he.\n\n“‘God', 'bless', 'you,’', 'said', 'I.\n\n“By', 'this', 'time', 'the', 'bears', 'were', 'sitting', 'in', 'a', 'circle', 'all', 'around', 'the', 'tree.\nYes,”', 'said', 'Bonaparte', 'impressively,', 'fixing', 'his']",(AKARalphIron)OliveSchreiner
"['shall\nwe', 'drive', 'out', 'somewhere?', 'Or', 'would', 'you', 'rather', 'take', 'a', 'boat', 'to', 'Bellevue?\nHave', 'you', 'ever', 'dined', 'there,', 'on', 'the', 'terrace,', 'by', 'moonlight?', 'It’s', 'not', 'at']",EdithWharton
"['finished,', 'and', 'this', 'night', 'would', 'find', 'me', 'soliciting', 'your\nforgiveness.”\n\n“Dismiss', 'thy', 'fears', 'and', 'thy', 'doubts,”', 'replied', 'Elfonzo.\n\n“Look,', 'O!', 'look:', 'that', 'angelic', 'look', 'of', 'thine--bathe', 'not', 'thy']",MarkTwain
"['feeling\nof', 'self', 'again.\n\nIII.\n\nAnd', 'then', 'a', 'new', 'time', 'rises.', 'We', 'are', 'seven', 'years', 'old.', 'We', 'can', 'read', 'now--read\nthe', 'Bible.', 'Best', 'of', 'all', 'we', 'like', 'the', 'story']",(AKARalphIron)OliveSchreiner
"['streets', 'of\nstony', 'villages,', 'coming', 'out', 'on', 'low', 'slopes', 'above', 'the', 'river,', 'or', 'winding\nthrough', 'the', 'pale', 'gold', 'of', 'narrow', 'wood-roads', 'with', 'the', 'blue', 'of', 'clear-cut\nhills', 'at']",EdithWharton
"['but', 'it', 'was\neasy', 'enough', 'to', 'give', 'her', 'a', 'few', 'more', 'hours', 'of', 'pleasure.', 'And', 'did', 'she', 'not\nperhaps', 'secretly', 'expect', 'it', 'of', 'him?', 'After', 'all,', 'if']",EdithWharton
"['hundred_', 'people', 'had', 'really', 'lost', 'their', 'lives', 'by', 'those', 'disasters\nin', 'the', 'preceding', 'twelve', 'months.', 'The', 'Erie', 'road', 'was', 'set', 'down', 'as', 'the', 'most\nmurderous', 'in', 'the']",MarkTwain
"['knows', 'I\nam', 'happy', 'now.', 'Happy,', 'and', 'grateful', 'to', 'you,', 'my', 'own,', 'who', 'have', 'done', 'it', 'all.\nWhen', 'is', 'it', 'to', 'be?”\n\n“Next', 'Sunday.”\n\n“Good.', 'And', ""we'll"", 'want', 'to']",MarkTwain
"['hai', 'un', 'cane_,', 'thou', 'hast', 'a', 'dog.”\n\n_“Egli', 'ha', 'un', 'cane,', '_he', 'has', 'a', 'dog.”\n\n_“Noi', 'abbiamo', 'un', 'cane_,', 'we', 'have', 'a', 'dog.”\n\n“_Voi', 'avete', 'un', 'cane_,', 'you']",MarkTwain
"['own', 'interest', 'in', 'you.', 'Why', 'not', 'put', 'it', 'that', 'our', 'friendship\ngives', 'me', 'the', 'right', 'to', 'intervene', 'for', 'what', 'I', 'believe', 'to', 'be', 'your', 'benefit?”\n\nShe', 'took']",EdithWharton
"['wire.', 'It', 'means', ""something--that's"", 'sure.', 'In', 'the', 'mean\ntime,', 'sit', 'square', 'in', 'your', 'saddles,', 'ride', 'your', 'range,', 'and', 'let', 'the', 'idea', 'run\nriot', 'that', 'you', 'are', 'cowmen.']",AndyAdams
"['Gregory', 'kept', 'a', 'little\nduster', 'folded', 'in', 'the', 'corner', 'of', 'his', 'table-drawer,', 'just', 'as', 'he', 'had', 'seen', 'his\nmother', 'do,', 'and', 'every', 'morning', 'before', 'he', 'went', 'out']",(AKARalphIron)OliveSchreiner
"['never', 'to', 'eat', 'your', 'own', 'beef.', 'The', 'adage\nis', 'worth', 'transplanting.', ""We'll"", 'beef', 'him.', 'The', 'lines', 'of', 'intrenchment', 'are\nencouraging.""\n\nThe', 'latter', 'remarks', 'were', 'not', 'fully', 'understood', 'by']",AndyAdams
"['such', 'moments', 'a', 'wife’s', 'duty', 'is', 'at', 'her', 'husband’s', 'side.”\n\nThe', 'problem', 'of', 'Effie’s', 'future', 'might', 'have', 'disturbed', 'her,', 'she', 'added;', 'but\nsince', 'Anna,', 'for', 'a', 'time,']",EdithWharton
"[""Belknap's"", 'children\n\nby', 'M.', 'A.', 'Glaze\n\n\nFriends', 'and', 'neighbors', 'all', 'draw', 'near,', 'And', 'listen', 'to', 'what', 'I', 'have', 'to', 'say;\nAnd', 'never', 'leave', 'your', 'children', 'dear', 'When', 'they']",MarkTwain
"['quite', 'near\nto', 'us,', 'and', 'like', 'us.', 'We', 'wonder', 'what', 'kind', 'of', 'a', 'creature', 'he', 'is;', 'but', 'he', 'is\njust', 'we,', 'ourselves.', 'We', 'are', 'only', 'the', 'wood,']",(AKARalphIron)OliveSchreiner
"['ride', 'it,', 'and', 'look', 'at', 'the\nscenery.', 'Thirty', 'or', 'forty', 'feet', 'of', 'its', 'tail', 'was', 'lying', 'on', 'the', 'ground,', 'like\na', 'fallen', 'tree,', 'and', 'she', 'thought', 'she']",MarkTwain
"['crowd', 'surge', 'up', 'and', 'down', 'in', 'a', 'glare', 'of', 'lights', 'and', 'gilding.\nThen,', 'as', 'she', 'complained', 'of', 'the', 'heat,', 'he', 'led', 'her', 'through', 'the', 'press', 'to']",EdithWharton
"['following', 'him\ndeprecatingly.', '“I', 'didn’t', 'think', 'it', 'would', 'hurt', 'you', 'so', 'much.', 'It', 'was', 'such', 'a\nlittle', 'whip.', 'I', 'am', 'sure', 'you', 'didn’t', 'take', 'the', 'peaches.', 'You']",(AKARalphIron)OliveSchreiner
"['monk', 'sitting', 'on', 'a', 'rock,', 'looking\ntranquilly', 'up', 'to', 'heaven,', 'with', 'a', 'human', 'skull', 'beside', 'him,', 'and', 'without\nother', 'baggage,', 'we', 'know', 'that', 'that', 'is', 'St.', 'Jerome.']",MarkTwain
"['she', 'added;', '“you’re', 'just', 'the', 'kind.', 'She', 'has\nheaps', 'of', 'money', 'to', 'pay', 'you', 'with;', 'has', 'everything', 'that', 'money', 'can', 'buy.', 'And', 'I\ngot', 'a', 'letter', 'with']",(AKARalphIron)OliveSchreiner
"['his', 'indignation', 'would', 'grow', 'till', 'he', 'could\ncontain', 'himself', 'no', 'longer--and', 'then', 'he', 'would', 'take', 'that', 'ship', 'home', 'where\nhe', 'lived', 'and', 'keep', 'it', 'there', 'carefully,', 'expecting']",MarkTwain
"['know\nme', 'as', 'I', 'am.', 'If', 'I', 'thought', 'that', 'at', 'that', 'moment', '...', 'when', 'you', 'were', 'on', 'your', 'way\nhere,', 'almost----”\n\nHe', 'dropped', 'her', 'hand', 'and', 'stood', 'up.']",EdithWharton
"['better', 'to', 'rope', 'him', 'in', 'with', 'the', 'promise', 'of\nthe', 'first', 'two', 'dollars', 'and', 'a', 'half', 'you', 'find', 'floating', 'down', 'the', 'river', 'on', 'a\ngrindstone.', 'In', 'the']",MarkTwain
"['came', 'on', 'with', 'a', 'sullen', 'stride', 'that', 'thirst', 'enforces.', 'The', 'previous\nscene', 'of', 'contentment', 'gave', 'way', 'to', 'frenzy.', 'The', 'heavy', 'beeves,', 'equally\nselect', 'with', 'the', 'vanguard,', 'floundered']",AndyAdams
"['“You’ll', 'let', 'me', 'kiss', 'you,', 'Em,\njust', 'for', 'old', 'friendship’s', 'sake.”', 'He', 'stooped', 'down.', '“You', 'must', 'look', 'upon', 'me\nas', 'a', 'dear', 'brother,', 'as', 'a', 'cousin', 'at']",(AKARalphIron)OliveSchreiner
"['a', 'tangent.\n\n“Oh,', 'I', 'never', 'mean', 'to', 'marry,”', 'she', 'had', 'rejoined', 'in', 'a', 'tone', 'of', 'youthful\nfinality.\n\n“I', 'seem', 'to', 'have', 'heard', 'that', 'before!”\n\n“Yes;', 'from', 'girls', 'who’ve', 'only']",EdithWharton
"['again,\nand', 'shedding', 'that', 'water', 'out', 'of', 'the', 'places', 'she', 'looks', 'with.', 'I', 'was', 'obliged\nto', 'return', 'with', 'her,', 'but', 'will', 'presently', 'emigrate', 'again', 'when', 'occasion\noffers.', 'She']",MarkTwain
"['and', 'whether', 'a', 'certain\ninjury', 'to', 'the', 'brain', 'would', 'produce', 'blindness', 'or', 'not,', 'but', 'they', 'could', 'not\nagree', 'about', 'it,', 'and', 'said', 'they', 'must', 'test', 'it', 'by']",MarkTwain
"['into', 'a', 'run', 'at', 'sight', 'of', 'water,', 'if', 'grazed', 'up', 'to', 'it.\nYou', 'may', 'take', 'one', 'point', 'and', ""I'll"", 'take', 'the', 'other.""\n\nThe', 'existing', 'drouth', 'promised', 'a']",AndyAdams
"['trough', 'over', 'and', 'over', 'to', 'dislodge', 'the', 'bait.\nKeep', 'your', 'holders', 'out', 'in', 'the', 'open,', 'exposed', 'to', 'the', 'elements,', 'scald', 'the\nloading', 'tools', 'before', 'using,', 'and', 'you']",AndyAdams
"['until', 'late', 'that', 'afternoon', 'that', 'Darrow', 'could', 'claim', 'his\npostponed', 'hour', 'with', 'Anna.', 'When', 'at', 'last', 'he', 'found', 'her', 'alone', 'in', 'her\nsitting-room', 'it', 'was', 'with', 'a']",EdithWharton
"['the', 'court-yard', 'wall', 'the', 'flower-garden', 'drew', 'its', 'dark-green\nsquares', 'and', 'raised', 'its', 'statues', 'against', 'the', 'yellowing', 'background', 'of', 'the\npark.', 'In', 'the', 'borders', 'only', 'a', 'few', 'late']",EdithWharton
"['perfectly', 'simulated,', 'and', 'the', 'result', 'is', 'a', 'performance\nwhich', 'is', 'thoroughly', 'charming', 'and', 'delicious.', 'This', 'is', 'art--and', 'fine', 'and\nbeautiful,', 'and', 'only', 'a', 'master', 'can', 'compass', 'it;']",MarkTwain
"['have', 'heard', 'about', 'long', 'enough\nand', 'don’t', 'care', 'about', 'it;', 'but', 'this', 'new', 'law', 'sets', 'us', 'on', 'fire.\n\nWe', 'will', 'deny', 'ourself.', 'Our', 'little', 'wagon', 'that', 'we']",(AKARalphIron)OliveSchreiner
"['uncertainty\nremains,', 'the', 'mystery', 'abides,', 'and', 'with', 'it', 'the', 'charm.', 'Guess', 'again.\n\nIf', 'I', 'had', 'a', 'phrase-book', 'of', 'a', 'really', 'satisfactory', 'sort', 'I', 'would', 'study', 'it,\nand', 'not']",MarkTwain
"['as', 'a', 'whole', 'rounded', 'into', 'form,', 'reflecting', 'its\ntenacity', 'of', 'life', 'and', 'the', 'able', 'handling', 'of', 'its', 'owners.\n\nWithin', 'ten', 'days', 'of', 'the', 'close', 'of', 'the', 'month,']",AndyAdams
"['publishing', 'it,', 'right', 'in', 'the', 'face', 'of', 'the\nprohibition.\n\nFor', 'the', 'rest', 'of', 'the', 'day', 'Sally', 'made', 'havoc', 'and', 'confusion', 'with', 'his', 'books,\nand', 'Aleck', 'could', 'not', 'keep']",MarkTwain
"['nurse', 'and', 'the', 'puppy', 'and', 'I', 'used', 'to', 'play', 'in', 'the', 'summer', 'in\nthe', 'shade', 'of', 'a', 'great', 'elm,', 'and', 'there', 'the', 'footman', 'dug', 'a', 'hole,']",MarkTwain
"['they', 'want', 'men', 'of', 'talent;', 'they', 'want', 'men', 'of', 'ability', 'to\nopen', 'up', 'that', 'land.', 'Let', 'us', 'go.’\n\n“I', 'bought', 'eight', 'thousand', 'pounds’', 'worth', 'of', 'machinery--winnowing,', 'plowing,\nreaping']",(AKARalphIron)OliveSchreiner
"['he', ""doesn't"", 'recover', 'as', 'soon', 'as', 'expected,""', 'cautiously\nprotested', 'Joel,', '""where', 'are', 'we', 'to', 'get', 'further', 'provision?""\n\n""Good', 'suggestion,""', 'assented', 'the', 'trail', 'foreman.', '""But', 'here:', ""I'll"", 'leave']",AndyAdams
"['in', 'my', 'judgment.', 'The', 'difference\nin', 'size', 'warrants', 'the', 'conclusion', 'that', 'it', 'is', 'a', 'different', 'and', 'new', 'kind', 'of\nanimal--a', 'fish,', 'perhaps,', 'though', 'when', 'I', 'put', 'it']",MarkTwain
"['relief', 'was', 'hardly', 'less', 'great.', 'After', 'all,', 'his', 'personal', 'responsibility\nceased', 'with', 'her', 'departure', 'from', 'Givre.\n\n“You’ll', 'tell', 'me', 'about', 'that,', 'then--won’t', 'you?”\n\nHer', 'smile', 'flickered', 'up.', '“Oh,']",EdithWharton
"['toward', 'a', 'provisional', 'shelter.\nBut', 'now', 'that', 'he', 'was', 'leaving', 'it,', 'was', 'looking', 'at', 'it', 'for', 'the', 'last', 'time,\nit', 'seemed', 'to', 'have', 'taken', 'complete', 'possession', 'of']",EdithWharton
"['""these', 'gentlemen', 'want', 'to\nmake', 'an', 'early', 'start.', ""You'll"", 'have', 'to', 'bring', 'in', 'the', 'horses', 'while', 'I', 'get\nbreakfast.', 'Come', 'on.""\n\n\n\n\nCHAPTER', 'III\n\nTHE', 'BOTTOM', 'RUNG\n\n\nAn', 'early', 'start', 'was']",AndyAdams
"['will', 'reach', 'here', 'early', 'during', 'the', 'afternoon.""\n\nThe', 'homestead', 'presented', 'a', 'busy', 'scene', 'for', 'the', 'remainder', 'of', 'the', 'day.', 'Every\nold', 'tool', 'on', 'the', 'ranch', 'was', 'brought']",AndyAdams
"['and', 'then,', 'below', 'a', 'more', 'ideal', 'measure,', 'even', 'these\ndeclines', 'had', 'been', 'brief,', 'parenthetic,', 'incidental.', 'In', 'the', 'recognized\nessentials', 'he', 'had', 'always', 'remained', 'strictly', 'within', 'the', 'limit']",EdithWharton
"['home', 'by', 'rail.', 'In', 'acquiring', 'a', 'nucleus,', 'Wells\nBrothers', 'fell', 'heir', 'to', 'a', 'temporary', 'range', 'and', 'camp,', 'which', 'thereafter\nbecame', 'their', 'headquarters.\n\nA', 'single', 'day', 'was', 'wasted', 'in']",AndyAdams
"['short', 'bright', 'waves.', 'The', 'air,', 'too,', 'seemed', 'to\nbreak', 'in', 'waves', 'against', 'her,', 'sweeping', 'by', 'on', 'its', 'current', 'all', 'the', 'slanted\nlights', 'and', 'moist', 'sharp', 'perfumes', 'of']",EdithWharton
"['have', 'been', 'the', 'work', 'of', 'fools.\n\nThis', 'thing', 'is', 'certain--he', 'is', 'a', 'fool', 'who', 'says,', '“No', 'man', 'hath', 'said', 'in', 'his\nheart,', 'There', 'is', 'no', 'God.”\n\nIt', 'has']",(AKARalphIron)OliveSchreiner
"['her', 'mind', 'since', 'his', 'return,', 'yet', 'when', 'she', 'had', 'attempted', 'to', 'reveal', 'it\nto', 'him', 'he', 'had', 'turned', 'from', 'the', 'revelation.', 'She', 'was', 'therefore', 'merely\nfollowing', 'the']",EdithWharton
"['to', 'cut', 'out', 'all', 'strays', 'and\ncripples.', 'One', 'of', 'the', 'boys', 'would', 'return', 'with', 'him,', 'for', 'the', 'expected', 'cow,\nand', 'when', 'volunteers', 'were', 'called', 'for,', 'Dell', 'hesitated']",AndyAdams
"['their', 'glad', 'step', 'coming,’', 'he', 'said;', '‘and', 'they', 'shall', 'mount!\nthey', 'shall', 'mount!’', 'He', 'raised', 'his', 'shrivelled', 'hand', 'to', 'his', 'eyes.\n\n“Then', 'slowly', 'from', 'the', 'white', 'sky']",(AKARalphIron)OliveSchreiner
"['a', 'young', 'man,', 'about', 'eighteen', 'or', 'twenty,\nwho', 'seemed', 'to', 'be', 'reading', 'some', 'favorite', 'book,', 'and', 'who', 'had', 'a', 'remarkably\nnoble', 'countenance--eyes', 'which', 'betrayed', 'more', 'than', 'a']",MarkTwain
"['hads.', 'What', 'are', 'you', 'giving', 'me?”\n\n“But', 'this', 'is', 'another', 'breed.”\n\n“What', 'do', 'we', 'want', 'of', 'another', 'breed?', ""Isn't"", 'one', 'breed', 'enough?', '_Had_', 'is\n_had_,', 'and', 'your', 'tricking']",MarkTwain
"['he', 'had\ndetermined', 'to', 'become', 'a', 'student,', 'if', 'he', 'could', 'meet', 'with', 'his', 'approbation.\n“Sir,”', 'said', 'he,', '“I', 'have', 'spent', 'much', 'time', 'in', 'the', 'world.', 'I', 'have']",MarkTwain
