text,Author
"['\n', 'ï¿½No,', 'I', ""don't."", 'What', 'is', 'it?ï¿½\n', '\n', 'ï¿½It', ""ain't"", 'anything', 'but', 'imagination.', 'There', ""ain't"", 'anything', 'TO', 'it.ï¿½\n', '\n', 'It', 'warmed', 'me', 'up', 'a', 'little']",MarkTwain
"['behind', 'him,\n', 'and', 'was', 'in', 'the', 'open', 'street.\n', '\n', 'He', 'looked', 'to', 'the', 'right', 'and', 'to', 'the', 'left,', 'uncertain', 'whither', 'to', 'fly.\n', '\n', 'He', 'remembered']",CharlesDickens
"['Nights', 'now.', 'He', 'said\n', 'it', 'was', 'right', 'along', 'here', 'that', 'one', 'of', 'the', 'cutest', 'things', 'in', 'that', 'book\n', 'happened;', 'so', 'we', 'looked', 'down', 'and', 'watched']",MarkTwain
"['you', ""don't"", 'know', 'what', 'a', 'beak', 'is,', 'my', 'flash', ""com-pan-i-on.'\n"", '\n', 'Oliver', 'mildly', 'replied,', 'that', 'he', 'had', 'always', 'heard', 'a', ""bird's"", 'mouth\n', 'described', 'by', 'the']",CharlesDickens
"['and', 'full', 'command', 'of', 'nerve', 'which', 'was', 'essential', 'to', 'a\n', 'finished', 'undertaker,', 'he', 'had', 'many', 'opportunities', 'of', 'observing', 'the\n', 'beautiful', 'resignation', 'and', 'fortitude', 'with', 'which']",CharlesDickens
"['was', 'in', 'the', 'most', 'desperate', 'danger', 'if', 'he\n', ""couldn't"", 'keep', 'up', 'with', 'the', 'hack.', 'He', 'was', 'horrible', 'scared,', 'but', 'he', 'laid', 'into\n', 'his', 'work', 'for']",MarkTwain
"['such', 'a', 'place.', ""'Lord,"", 'Lord!\n', 'Well,', 'it', '_is_', 'strange', 'that', 'I', 'who', 'gave', 'birth', 'to', 'her,', 'and', 'was', 'a', 'woman\n', 'then,', 'should', 'be', 'alive', 'and']",CharlesDickens
"['thought', ""we'd"", 'chance', 'it,', 'and', 'we', 'did.\n', 'We', 'swooped', 'down', 'and', 'stopped,', 'and', 'Jim', 'shinned', 'down', 'the', 'ladder', 'and', 'fetched\n', 'up', 'the', 'kid,', 'which', 'was']",MarkTwain
"['been', 'doing', 'since--er--since', 'we', 'had', 'the\n', 'accident?ï¿½\n', '\n', 'ï¿½Wandering,ï¿½', 'he', 'says,', 'kinder', 'troubled--ï¿½wandering,', 'without', 'any', 'doubt.\n', ""She's"", 'in', 'a', 'wind', 'now', ""that's"", 'blowing', 'her', 'south']",MarkTwain
"['', 'I', 'have', 'come', 'out\n', 'myself', 'to', 'take', 'him', 'there.', '', 'So', 'let', 'me', 'see', 'him', 'at', ""once.'\n"", '\n', ""'I'll"", 'fetch', 'him', ""directly,'"", 'said', 'Mrs.']",CharlesDickens
"['things', 'that', 'a', 'crowd', 'says', 'when', ""they've"", 'got', 'hold', 'of', 'a', 'feller', 'that\n', 'they', 'see', 'they', 'can', 'plague.', 'Well,', 'some', 'things', 'they', 'said', 'WAS', 'funny,--yes,\n']",MarkTwain
"['it', 'was', 'and', 'there', ""warn't"", 'no', 'getting', 'around', 'it.', 'He', 'said', 'it', 'had\n', 'always', 'been', 'just', 'so,', 'and', ""he'd"", 'just', 'as', 'soon', 'be', 'where', 'there']",MarkTwain
"['dead', 'lion,', 'a', 'small', 'tender', 'one,', 'then', 'yanked', 'up', 'a', 'cub', 'tiger.\n', 'We', 'had', 'to', 'keep', 'the', 'congregation', 'off', 'with', 'the', 'revolver,', 'or', 'they', 'would']",MarkTwain
"['the', 'body,', 'and', 'raised', 'the', 'left', 'hand.', '', ""'The"", 'old\n', ""story,'"", 'he', 'said,', 'shaking', 'his', 'head:', ""'no"", 'wedding-ring,', 'I', 'see.', 'Ah!\n', ""Good-night!'\n"", '\n', 'The', 'medical']",CharlesDickens
"['you', 'wanted', 'it.', 'And', 'look', 'at', 'Russia.', 'It', 'spreads', 'all', 'around', 'and\n', 'everywhere,', 'and', 'yet', ""ain't"", 'no', 'more', 'important', 'in', 'this', 'world', 'than', 'Rhode\n', 'Island']",MarkTwain
"['and\n', 'mortar', 'elysium,', 'where', 'it', 'was', 'all', 'play', 'and', 'no', 'work.', '', ""'Oho!'"", 'said', 'the\n', 'board,', 'looking', 'very', 'knowing;', ""'we"", 'are', 'the', 'fellows', 'to', 'set']",CharlesDickens
"['dancing,', 'and', 'making', 'signs,', 'and', 'yelling.', 'We', ""couldn't"", 'make', 'out', 'what\n', 'he', 'said,', 'but', 'we', 'was', 'scared', 'anyway,', 'and', 'begun', 'to', 'heel', 'it', 'back', 'to']",MarkTwain
"['doubtless', 'provide', 'Oliver', 'with', 'a\n', 'comfortable', 'place,', 'without', 'loss', 'of', 'time.', '', 'This', 'led', 'to', 'a', 'more', 'friendly\n', 'and', 'confidential', 'dialogue;', 'from', 'which', 'Oliver', 'discovered']",CharlesDickens
"['as', 'the', 'hungry', 'pig', 'was,', 'when', 'he', 'was', 'shut', 'up,', 'by', 'mistake,', 'in\n', 'the', 'grain', 'department', 'of', 'a', 'brewery.\n', '\n', 'And', 'now,', 'I', 'come', 'to']",CharlesDickens
"['is,', 'and', ""hasn't"", 'got', 'half', 'as', 'much', 'in', 'it', ""that's"", 'worth', 'saving.ï¿½\n', '\n', 'Away', 'off', 'now', 'we', 'see', 'a', 'little', 'hill,', 'a-standing', 'up', 'just', 'on']",MarkTwain
"['lost,', 'and', ""it's"", 'wet', 'and', 'lonesome,', 'and', ""there's"", 'just\n', 'been', 'a', 'death', 'in', 'the', 'family.\n', '\n', 'We', 'set', 'there', 'huddled', 'up', 'in', 'the', 'bow,', 'and']",MarkTwain
"['there', 'ensued', 'a', 'brief', 'interval', 'of', 'time,', 'which', 'Noah', 'Claypole,\n', 'being', 'hungry', 'and', 'vicious,', 'considered', 'he', 'could', 'not', 'possibly', 'devote', 'to', 'a\n', 'worthier', 'purpose', 'than']",CharlesDickens
"['The', 'gentleman', 'who', 'spoke', 'last', 'was\n', 'unconsciously', 'right.', '', 'It', 'would', 'have', 'been', 'very', 'like', 'a', 'Christian,', 'and', 'a\n', 'marvellously', 'good', 'Christian', 'too,', 'if', 'Oliver']",CharlesDickens
"['her;', 'and', 'then\n', 'her', 'bones', 'were', 'starting', 'through', 'the', 'skin.', '', 'There', 'was', 'neither', 'fire', 'nor\n', 'candle;', 'she', 'died', 'in', 'the', 'dark--in', 'the', 'dark!', '']",CharlesDickens
"['an', 'hour', 'fast.ï¿½\n', '\n', 'So', 'he', 'put', 'up', 'his', 'turnip.', 'Then', 'he', 'see', 'another', 'clock,', 'and', 'took', 'a', 'look,', 'and\n', 'it', 'was', 'an', 'hour', 'fast']",MarkTwain
"['old', 'gentleman,', ""'you"", 'look', 'pale', 'and', 'alarmed.', 'What', 'is\n', 'the', ""matter?'\n"", '\n', ""'Stand"", 'a', 'little', 'away', 'from', 'him,', ""Beadle,'"", 'said', 'the', 'other', 'magistrate:\n', 'laying', 'aside']",CharlesDickens
"['him\n', 'or', 'not,', 'and', 'Tom', ""didn't"", 'make', 'a', 'sound.\n', '\n', 'There', 'was', 'another', 'long,', 'horrible', 'wait;', 'then', 'there', 'was', 'a', 'flash,', 'and', 'I\n', 'see', ""Tom's""]",MarkTwain
"['harm,', 'till', ""we've"", 'had', 'practice--I\n', 'knows', 'it', 'perfectly', 'well,', 'Mars', ""Tom--'deed"", 'I', 'knows', 'it', 'perfectly', 'well.', 'But\n', 'ef', 'we', 'takes', ""a'"", 'axe', 'or', 'two,', 'jist']",MarkTwain
"['enough', 'he', 'was', 'as', 'blind', 'as', 'a', 'bat', 'in', 'a', 'minute.\n', '\n', 'Then', 'the', 'dervish', 'laughed', 'at', 'him', 'and', 'mocked', 'at', 'him', 'and', 'made', 'fun']",MarkTwain
"['left', 'side', 'because\n', 'he', 'only', 'nibbled', 'the', 'grass', 'on', 'the', 'right', 'side', 'of', 'the', 'trail.', 'I', 'knowed', 'he\n', 'had', 'lost', 'an', 'upper', 'front', 'tooth', 'because']",MarkTwain
"['call', 'meridians', 'of', 'longitude,', 'and\n', 'we', 'can', 'drop', 'down', 'and', 'look', 'at', 'its', 'number,', 'and--ï¿½\n', '\n', 'ï¿½Oh,', 'shucks,', 'Huck', 'Finn,', 'I', 'never', 'see', 'such', 'a']",MarkTwain
"['to', 'be', 'some', 'very', 'minute\n', 'inscription', 'on', 'it;', 'for', 'the', 'Jew', 'laid', 'it', 'flat', 'upon', 'the', 'table,', 'and', 'shading\n', 'it', 'with', 'his', 'hand,', 'pored', 'over']",CharlesDickens
"['right;', ""beca'se"", 'ef', 'dey', ""didn't"", 'know,', 'dey\n', ""ain't"", 'no', 'use', 'for', ""po'"", 'ignorant', 'folks', 'like', 'us', 'to', 'be', 'trying', 'to', 'know;', 'en', 'so,\n', 'ef', ""it's""]",MarkTwain
"['black', 'string', 'stretched\n', 'across', 'the', 'sand,', 'but', 'he', ""couldn't"", 'guess', 'what', 'it', 'was.\n', '\n', 'ï¿½Well,ï¿½', 'I', 'says,', 'ï¿½I', 'reckon', 'maybe', ""you've"", 'got', 'a', 'chance', 'now']",MarkTwain
"['the', 'ham', 'being', 'kept', 'clean', 'and', 'preserved', 'from', 'dust,', 'by', 'the\n', 'ingenious', 'expedient', 'of', 'making', 'a', 'hole', 'in', 'the', 'loaf', 'by', 'pulling', 'out', 'a\n', 'portion']",CharlesDickens
"['now\n', 'that', 'his', 'jealousy', 'was', 'roused', 'by', 'seeing', 'the', 'new', 'boy', 'promoted', 'to', 'the\n', 'black', 'stick', 'and', 'hatband,', 'while', 'he,', 'the', 'old', 'one,', 'remained', 'stationary']",CharlesDickens
"['by', 'reason', 'of', 'his', 'fatigue', 'and', 'sore', 'feet.', '', 'When\n', 'the', 'outsides', 'saw', 'this,', 'they', 'put', 'their', 'halfpence', 'back', 'into', 'their', 'pockets\n', 'again,', 'declaring', 'that']",CharlesDickens
"['way', 'out--but', 'I', ""didn't\n"", 'mind.', ""We'd"", 'spotted', 'the', 'soft', 'place', 'in', 'that', 'tale', 'sharp', 'enough,', 'he', ""couldn't\n"", 'git', 'away', 'from', 'that', 'little', 'fact.', 'It', 'graveled']",MarkTwain
"['Noah,', 'look', 'after', 'the', 'shop.', 'Oliver,', 'put', 'on', 'your', 'cap,\n', 'and', 'come', 'with', ""me.'"", '', 'Oliver', 'obeyed,', 'and', 'followed', 'his', 'master', 'on', 'his\n', 'professional', 'mission.\n']",CharlesDickens
"['was', 'just', 'exactly', 'enough', 'star-stuff,', 'and', 'none', 'left', 'over?\n', 'How', 'does', 'it', 'come', 'there', ""ain't"", 'no', 'sand-pile', 'up', 'there?ï¿½\n', '\n', 'But', 'Jim', 'was', 'fixed', 'for']",MarkTwain
