text,Author,Author_num
"['\n', 'ï¿½No,', 'I', ""don't."", 'What', 'is', 'it?ï¿½\n', '\n', 'ï¿½It', ""ain't"", 'anything', 'but', 'imagination.', 'There', ""ain't"", 'anything', 'TO', 'it.ï¿½\n', '\n', 'It', 'warmed', 'me', 'up', 'a', 'little']",MarkTwain,1
"['behind', 'him,\n', 'and', 'was', 'in', 'the', 'open', 'street.\n', '\n', 'He', 'looked', 'to', 'the', 'right', 'and', 'to', 'the', 'left,', 'uncertain', 'whither', 'to', 'fly.\n', '\n', 'He', 'remembered']",CharlesDickens,0
"['Nights', 'now.', 'He', 'said\n', 'it', 'was', 'right', 'along', 'here', 'that', 'one', 'of', 'the', 'cutest', 'things', 'in', 'that', 'book\n', 'happened;', 'so', 'we', 'looked', 'down', 'and', 'watched']",MarkTwain,1
"['you', ""don't"", 'know', 'what', 'a', 'beak', 'is,', 'my', 'flash', ""com-pan-i-on.'\n"", '\n', 'Oliver', 'mildly', 'replied,', 'that', 'he', 'had', 'always', 'heard', 'a', ""bird's"", 'mouth\n', 'described', 'by', 'the']",CharlesDickens,0
"['and', 'full', 'command', 'of', 'nerve', 'which', 'was', 'essential', 'to', 'a\n', 'finished', 'undertaker,', 'he', 'had', 'many', 'opportunities', 'of', 'observing', 'the\n', 'beautiful', 'resignation', 'and', 'fortitude', 'with', 'which']",CharlesDickens,0
"['was', 'in', 'the', 'most', 'desperate', 'danger', 'if', 'he\n', ""couldn't"", 'keep', 'up', 'with', 'the', 'hack.', 'He', 'was', 'horrible', 'scared,', 'but', 'he', 'laid', 'into\n', 'his', 'work', 'for']",MarkTwain,1
"['such', 'a', 'place.', ""'Lord,"", 'Lord!\n', 'Well,', 'it', '_is_', 'strange', 'that', 'I', 'who', 'gave', 'birth', 'to', 'her,', 'and', 'was', 'a', 'woman\n', 'then,', 'should', 'be', 'alive', 'and']",CharlesDickens,0
"['thought', ""we'd"", 'chance', 'it,', 'and', 'we', 'did.\n', 'We', 'swooped', 'down', 'and', 'stopped,', 'and', 'Jim', 'shinned', 'down', 'the', 'ladder', 'and', 'fetched\n', 'up', 'the', 'kid,', 'which', 'was']",MarkTwain,1
"['been', 'doing', 'since--er--since', 'we', 'had', 'the\n', 'accident?ï¿½\n', '\n', 'ï¿½Wandering,ï¿½', 'he', 'says,', 'kinder', 'troubled--ï¿½wandering,', 'without', 'any', 'doubt.\n', ""She's"", 'in', 'a', 'wind', 'now', ""that's"", 'blowing', 'her', 'south']",MarkTwain,1
"['', 'I', 'have', 'come', 'out\n', 'myself', 'to', 'take', 'him', 'there.', '', 'So', 'let', 'me', 'see', 'him', 'at', ""once.'\n"", '\n', ""'I'll"", 'fetch', 'him', ""directly,'"", 'said', 'Mrs.']",CharlesDickens,0
